id_kinopoisk,title,genres,actors,description,countries
2467,Охотники за привидениями (1984),"['Фантастика', 'Фэнтези', 'Боевик', 'Комедия']","['Билл Мюррей', 'Дэн Эйкройд', 'Сигурни Уивер', 'Харольд Рэмис', 'Рик Морэнис', 'Энни Поттс', 'Уильям Этертон', 'Эрни Хадсон', 'Дэвид Маргулис', 'Стивен Тэш', 'Вадим Андреев', 'Вячеслав Баранов', 'Марина Дюжева', 'Игорь Тарадайкин', 'Дмитрий Полонский']","В конце двадцатого века оказывается, что в Нью  Йорке живут не только обычные граждане, но и привидения. Многомиллионное население не может противостоять натиску сверхъестественного.В конце концов на пути бесчисленных монстров не остается никого  кроме троих ученых  парапсихологов, которым известно все о потустороннем мире, правда только в теории. И теперь им придется оставить пыльные кабинеты и применить свои знания на практике",['США']
2428,Ведьмина служба доставки,"['Аниме', 'Мультфильм', 'Фэнтези', 'Комедия', 'Приключения', 'Семейный']","['Минами Такаяма', 'Рэй Сакума', 'Каппэи Ямагути', 'Кэйко Тода', 'Миэко Нобусава', 'Коити Миура', 'Харуко Като', 'Хироко Сэки', 'Юрико Футидзаки', 'Коити Ямадэра', 'Ольга Голованова', 'Ольга Шорохова', 'Диомид Виноградов', 'Дмитрий Филимонов', 'Елена Чебатуркина']","Молодая ведьма Кики по достижении 13 лет должна прожить определённое время среди людей. Кики вместе со своим котом Дзидзи отправляется в город, где знакомится с добрым пекарем, который помогает ей начать собственное дело  экстренную службу доставки. Новая работа знакомит Кики со множеством различных людей и предоставляет возможность обрести новых друзей и совершать массу всевозможных проделок.",['Япония']
418,Цельнометаллическая оболочка,"['Драма', 'Военный']","['Мэттью Модайн', 'Адам Болдуин', 'Винсент Д’Онофрио', 'Р. Ли Эрми', 'Дориан Хэрвуд', 'Кевин Мейджор Ховард', 'Арлисс Ховард', 'Эд О’Росс', 'Джон Терри', 'Кирон Джеккинис', 'Михаил Тихонов', 'Диомид Виноградов']","Американская база подготовки новобранцев корпуса морской пехоты. Жесточайшая, бесчеловечная система призвана превратить домашних мальчишек в натренированных хладнокровных убийц. Их готовят к войне во Вьетнаме, где им придется часто задавать себе вопрос «Разве война  это не ад?», а иначе просто невозможно убивать каждый день, не понимая, для чего это?","['Великобритания', 'США']"
8232,Спящая красавица,"['Мультфильм', 'Мюзикл', 'Фэнтези', 'Мелодрама', 'Семейный']","['Мэри Коста', 'Билл Ширли', 'Элеонор Одли', 'Верна Фелтон', 'Барбара Ладди', 'Барбара Джо Аллен', 'Тейлор Холмс', 'Билл Томпсон', 'Bob Amsberry', 'Мэл Бланк', 'Карина Сербина', 'Алексей Сафиуллин', 'Любовь Казарновская', 'Нина Лунева', 'Ольга Шорохова']","Давным-давно в далекой стране жили король с королевой. Когда у них родилась долгожданная дочь Аврора, в королевстве был устроен большой праздник, чтобы все могли поприветствовать малютку. На бал пригласили и трех добрых фей  Флору, Фауну и Хорошую Погоду, а про злую колдунью Мэлифисент забыли. 

Оскорбленная, она наложила на принцессу проклятье  в день своего 16-летия Аврора уколется о веретено и уснет вечным сном. Колдовство оказалось таким сильным, что добрые феи не смогли разрушить его. Но все же они спасли принцессу: она очнется ото сна после поцелуя прекрасного принца",['США']
8178,Совершенный мир,"['Триллер', 'Драма', 'Криминал']","['Кевин Костнер', 'Клинт Иствуд', 'Лора Дерн', 'Т. Дж. Лоузер', 'Кит Шарабайка', 'Лео Бёрместер', 'Пол Хьюит', 'Брэдли Уитфорд', 'Рэй Маккиннон', 'Дженнифер Гриффин', 'Владимир Вихров', 'Виктор Петров', 'Любовь Германова', 'Светлана Харлап', 'Дмитрий Полонский']","Батч Хейнс  закаленный жизнью преступник, бежавший вместе с юным заложником, видящим в Батче отца, которого у него никогда не было. Ред Гарнетт  хитрый техасский рейнджер, предводитель шерифов. Ему знакомы каждая тропинка и укрытие. И более того  ему знаком и неуловимый Хейнс, ведь их пути уже пересекались однажды.",['США']
2056,Октябрьское небо,"['Драма', 'Семейный', 'Биография']","['Джейк Джилленхол', 'Лора Дерн', 'Крис Купер', 'Крис Оуэн', 'Уильям Ли Скотт', 'Чэд Линдберг', 'Натали Кэнердей', 'Скотт Томас', 'Рэнди Стриплинг', 'Крис Эллис']","В октябре 1957 года произошло событие эпохального значения. Советский Союз впервые в истории человечества запустил на земную орбиту первый «Спутник». Мир стал другим.Запуск советской ракеты произвел неизгладимое впечатление на мальчика по имени Хомер Хикэм из небольшого шахтерского городка Колвуд в Западной Вирджинии. Всерьез «заболевший» космосом, Хомер решает построить собственную ракету. В этом ему начинают помогать трое друзей и школьная учительница. Однако отец Хомера, шахтер  работяга, видящий сына только в роли продолжателя своего нелегкого дела, категорически противится стремлениям своего ребенка.Но, несмотря ни на что, мальчик сделает все возможное и невозможное, чтобы его мечта стала явью",['США']
81512,Самый быстрый Indian,"['Драма', 'Биография', 'Спорт']","['Энтони Хопкинс', 'Аарон Мерфи', 'Крис Уильямс', 'Дайан Лэдд', 'Кристофер Лоуфорд', 'Брюс Гринвуд', 'Уильям Лаккинг', 'Уолтон Гоггинс', 'Джессика Коффил', 'Патрик Флюгер', 'Рудольф Панков', 'Илья Бледный', 'Владимир Антоник', 'Юрий Деркач', 'Александр Новиков']","История жизни знаменитого новозеландца Берта Монро, который потратил десятилетия жизни на переоснащение своего любимого мотоцикла марки «Индиан» 1920 года выпуска с максимальной скоростью в 58 миль/ч в гоночный болид для установления рекорда скорости.","['Новая Зеландия', 'Япония', 'США']"
43332,Проверка на дорогах,"['Драма', 'Военный']","['Ролан Быков', 'Анатолий Солоницын', 'Владимир Заманский', 'Олег Борисов', 'Федор Одиноков', 'Геннадий Дюдяев', 'Майя Булгакова', 'Николай Бурляев', 'Виктор Павлов', 'Юрий Дубровин']","Зима 1942 года. В одной из северо-западных областей России, оккупированной фашистами, действует партизанский отряд лейтенанта Ивана Локоткова, в прошлом  сельского милиционера. Отряд кормить нечем: в округе  одни сожженные деревни и каратели.Командир принимает решение захватить фашистский эшелон с продовольствием на узловой станции, где охраняется каждый метр. Провести операцию берется раскаявшийся полицай Лазарев, которого немцы знают в лицо. Но можно ли ему довериться?..",['СССР']
63670,Касаясь пустоты,"['Документальный', 'Драма', 'Приключения', 'Спорт']","['Брендан Маккей', 'Николас Аарон', 'Ричард Хаукинг', 'Джо Симпсон', 'Саймон Йэтс', 'Олли Руалль']","Фильм  экранизация бестселлера известного альпиниста Джо Симпсона  рассказывает одну из самых невероятных, реально происходивших историй из жизни альпинистов. В книге описывается восхождение Симпсона и его друга Саймона Йетса на одну из вершин перуанских Анд в 1985 году. Двое молодых амбициозных альпинистов решают покорить удаленный и опасный западный склон Сиула Гранде, высотой 7 тысяч метров. При спуске в плохую погоду Симпсон падает и ломает ногу. В борьбе за выживание молодые люди вынуждены ежеминутно принимать непростые решения. Симпсон и Йетс вместе возвращаются на место событий, чтобы поведать свою историю перед объективом камеры.","['Великобритания', 'США']"
31488,Алиса в городах,['Драма'],"['Рюдигер Фоглер', 'Йелла Роттлэндер', 'Лиза Кройцер', 'Эдда Кёхль', 'Эрнест Боэм', 'Сэм Прести', 'Луис Моран', 'Диди Петрикат', 'Ганс Хиршмюллер', 'Сибилла Байер']","Сначала кажется, что в этой чёрно-белой ленте ничего не произойдет, разве что немецкий журналист Филипп Винтер наснимает еще пару сотен «полароидных» снимков. Он путешествует по восточному побережью США под ритмы Чака Берри в поисках материала, но работа не клеится. Первое значимое событие происходит по пути домой.Филипп знакомится в аэропорту с немкой Лизой и её дочерью Алисой. Рейс задерживается, в процессе ожидания мать внезапно сбегает, оставив девятилетнюю Алису с новым знакомым. И Филиппу ничего не остаётся, кроме как совершить второе путешествие  по родному континенту, с чужим ребёнком, в поисках неизвестно кого, под музыку Can и Густава Малера.",['Германия (ФРГ)']
